date,unemp_rate,job_openings_index,hires_index,quits_index,cpi_index,real_openings_index,yoy_unemp_rate,yoy_job_openings_index
1971-10-01,5.8,,,,15.814097359161735,,5.454545454545445,
1971-11-01,6.0,,,,15.852762633878514,,1.6949152542372836,
1971-12-01,6.0,,,,15.89142790859529,,-1.6393442622950727,
1972-01-01,5.8,,,,15.930093183312069,,-1.6949152542372947,
1972-02-01,5.7,,,,16.00742373274562,,-3.3898305084745783,
1972-03-01,5.8,,,,16.00742373274562,,-3.3333333333333326,
1972-04-01,5.7,,,,16.0460890074624,,-3.3898305084745783,
1972-05-01,5.7,,,,16.084754282179176,,-3.3898305084745783,
1972-06-01,5.7,,,,16.123419556895954,,-3.3898305084745783,
1972-07-01,5.6,,,,16.162084831612727,,-6.666666666666677,
1972-08-01,5.6,,,,16.200750106329505,,-8.196721311475407,
1972-09-01,5.5,,,,16.278080655763063,,-8.333333333333337,
1972-10-01,5.6,,,,16.316745930479836,,-3.4482758620689724,
1972-11-01,5.3,,,,16.394076479913387,,-11.66666666666667,
1972-12-01,5.2,,,,16.432741754630168,,-13.33333333333333,
1973-01-01,4.9,,,,16.510072304063723,,-15.517241379310331,
1973-02-01,5.0,,,,16.62606812821405,,-12.28070175438597,
1973-03-01,4.9,,,,16.78072922708116,,-15.517241379310331,
1973-04-01,5.0,,,,16.89672505123149,,-12.28070175438597,
1973-05-01,4.9,,,,16.974055600665043,,-14.035087719298245,
1973-06-01,4.9,,,,17.090051424815375,,-14.035087719298245,
1973-07-01,4.8,,,,17.090051424815375,,-14.28571428571428,
1973-08-01,4.8,,,,17.39937362254959,,-14.28571428571428,
1973-09-01,4.8,,,,17.476704171983144,,-12.727272727272732,
1973-10-01,4.6,,,,17.63136527085025,,-17.85714285714286,
1973-11-01,4.8,,,,17.74736109500058,,-9.433962264150942,
1973-12-01,4.9,,,,17.902022193867687,,-5.769230769230771,
1974-01-01,5.1,,,,18.095348567451573,,4.081632653061207,
1974-02-01,5.2,,,,18.288674941035453,,4.0000000000000036,
1974-03-01,5.1,,,,18.48200131461934,,4.081632653061207,
1974-04-01,5.1,,,,18.597997138769674,,2.0000000000000018,
1974-05-01,5.1,,,,18.791323512353557,,4.081632653061207,
1974-06-01,5.4,,,,18.945984611220663,,10.20408163265305,
1974-07-01,5.5,,,,19.06198043537099,,14.583333333333348,
1974-08-01,5.5,,,,19.293972083671655,,14.583333333333348,
1974-09-01,5.9,,,,19.564629006689096,,22.916666666666675,
1974-10-01,6.0,,,,19.7192901055562,,30.434782608695656,
1974-11-01,6.6,,,,19.912616479140084,,37.5,
1974-12-01,7.2,,,,20.067277578007193,,46.93877551020407,
1975-01-01,8.1,,,,20.2219386768743,,58.82352941176472,
1975-02-01,8.1,,,,20.33793450102463,,55.769230769230745,
1975-03-01,8.6,,,,20.415265050458185,,68.62745098039215,
1975-04-01,8.8,,,,20.49259559989174,,72.54901960784316,
1975-05-01,9.0,,,,20.531260874608513,,76.47058823529413,
1975-06-01,8.8,,,,20.685921973475622,,62.962962962962976,
1975-07-01,8.6,,,,20.879248347059505,,56.363636363636346,
1975-08-01,8.4,,,,20.95657889649306,,52.727272727272734,
1975-09-01,8.4,,,,21.11123999536017,,42.3728813559322,
1975-10-01,8.4,,,,21.227235819510497,,40.000000000000014,
1975-11-01,8.3,,,,21.381896918377606,,25.75757575757578,
1975-12-01,8.2,,,,21.497892742527934,,13.888888888888884,
1976-01-01,7.9,,,,21.57522329196149,,-2.4691358024691246,
1976-02-01,7.7,,,,21.613888566678266,,-4.93827160493826,
1976-03-01,7.6,,,,21.652553841395044,,-11.627906976744185,
1976-04-01,7.7,,,,21.69121911611182,,-12.5,
1976-05-01,7.4,,,,21.807214940262153,,-17.77777777777777,
1976-06-01,7.6,,,,21.92321076441248,,-13.636363636363647,
1976-07-01,7.8,,,,22.039206588562813,,-9.302325581395344,
1976-08-01,7.8,,,,22.15520241271314,,-7.142857142857151,
